NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
317,76.66246056782335,499.0,0.2,0.05,0.8,-NA-
318,74.80817610062893,-513.0,0.2,0.05,0.8,-NA-
319,72.99059561128527,-505.0,0.2,0.05,0.8,-NA-
320,71.1875,-504.0,0.2,0.05,0.8,-NA-
321,72.51713395638629,498.0,0.2,0.05,0.8,-NA-
322,73.8416149068323,499.0,0.2,0.05,0.8,-NA-
323,75.15789473684211,499.0,0.2,0.05,0.8,-NA-
324,73.37037037037037,-504.0,0.2,0.05,0.8,-NA-
325,74.68,499.0,0.2,0.05,0.8,-NA-
326,76.00613496932516,507.0,0.2,0.05,0.8,-NA-
327,77.32415902140673,507.0,0.2,0.05,0.8,-NA-
328,78.60060975609755,496.0,0.2,0.05,0.8,-NA-
329,76.82978723404256,-504.0,0.2,0.05,0.8,-NA-
330,75.06969696969696,-504.0,0.2,0.05,0.8,-NA-
331,76.35045317220543,499.0,0.2,0.05,0.8,-NA-
332,77.64759036144578,507.0,0.2,0.05,0.8,-NA-
333,78.91291291291292,499.0,0.2,0.05,0.8,-NA-
334,77.16766467065868,-504.0,0.2,0.05,0.8,-NA-
335,78.44776119402985,506.0,0.2,0.05,0.8,-NA-
336,79.72321428571429,507.0,0.2,0.05,0.8,-NA-
337,78.00296735905044,-500.0,0.2,0.05,0.8,-NA-
338,79.27218934911242,507.0,0.2,0.05,0.8,-NA-
339,80.53392330383481,507.0,0.2,0.05,0.8,-NA-
340,81.76176470588236,498.0,0.2,0.05,0.8,-NA-
341,83.00293255131965,505.0,0.2,0.05,0.8,-NA-
342,84.24269005847954,507.0,0.2,0.05,0.8,-NA-
343,85.46938775510205,505.0,0.2,0.05,0.8,-NA-
344,83.75581395348837,-504.0,0.2,0.05,0.8,-NA-
345,82.05217391304348,-504.0,0.2,0.05,0.8,-NA-
346,80.33236994219654,-513.0,0.2,0.05,0.8,-NA-
347,81.55619596541787,505.0,0.2,0.05,0.8,-NA-
348,82.76724137931035,503.0,0.2,0.05,0.8,-NA-
349,81.08595988538681,-504.0,0.2,0.05,0.8,-NA-
350,82.30285714285715,507.0,0.2,0.05,0.8,-NA-
351,83.4900284900285,499.0,0.2,0.05,0.8,-NA-
352,84.69318181818181,507.0,0.2,0.05,0.8,-NA-
353,85.86402266288952,498.0,0.2,0.05,0.8,-NA-
354,84.18926553672317,-507.0,0.2,0.05,0.8,-NA-
355,82.53239436619718,-504.0,0.2,0.05,0.8,-NA-
356,83.70224719101124,499.0,0.2,0.05,0.8,-NA-
357,82.03921568627452,-510.0,0.2,0.05,0.8,-NA-
358,83.22625698324022,507.0,0.2,0.05,0.8,-NA-
359,84.40111420612813,505.0,0.2,0.05,0.8,-NA-
360,82.75555555555556,-508.0,0.2,0.05,0.8,-NA-
361,83.90027700831025,496.0,0.2,0.05,0.8,-NA-
362,82.27624309392266,-504.0,0.2,0.05,0.8,-NA-
363,83.44628099173553,507.0,0.2,0.05,0.8,-NA-
364,81.8076923076923,-513.0,0.2,0.05,0.8,-NA-
365,82.97260273972603,507.0,0.2,0.05,0.8,-NA-
366,81.3688524590164,-504.0,0.2,0.05,0.8,-NA-
367,82.52861035422343,507.0,0.2,0.05,0.8,-NA-
368,80.93478260869566,-504.0,0.2,0.05,0.8,-NA-
369,79.34688346883469,-505.0,0.2,0.05,0.8,-NA-
370,77.77027027027027,-504.0,0.2,0.05,0.8,-NA-
371,78.90566037735849,499.0,0.2,0.05,0.8,-NA-
372,80.05376344086021,506.0,0.2,0.05,0.8,-NA-
373,81.17694369973191,499.0,0.2,0.05,0.8,-NA-
374,79.61229946524064,-504.0,0.2,0.05,0.8,-NA-
375,80.752,507.0,0.2,0.05,0.8,-NA-
376,81.88563829787235,507.0,0.2,0.05,0.8,-NA-
